reference,gene_name
U3KPV3,U3KPV3
U3KPV2,U3KPV2
U3KPV0,U3KPV0
U3KPU9,U3KPU9
U3KPU8,U3KPU8
U3KPU7,U3KPU7
U3KPU6,U3KPU6
U3KPU5,U3KPU5
U3KPU4,U3KPU4
U3KPU1,U3KPU1
U3KPU0,U3KPU0
U3KPT8,U3KPT8
U3KPT7,U3KPT7
U3KPT4,U3KPT4
U3KPT3,U3KPT3
U3KPT1,U3KPT1
U3KPT0,U3KPT0
U3KPS9,U3KPS9
U3KPS8,U3KPS8
U3KPS7,U3KPS7
U3KPS6,U3KPS6
U3KPS5,U3KPS5
U3KPS4,U3KPS4
U3KPS3,U3KPS3
U3KPS2,U3KPS2
U3KPS1,U3KPS1
U3KPR9,U3KPR9
U3KPR8,U3KPR8
U3KPR7,U3KPR7
U3KPR6,U3KPR6
U3KPR5,U3KPR5
U3KPR4,U3KPR4
U3KPR3,U3KPR3
U3KPR1,U3KPR1
T2HUW8,T2HUW8
T1ECW5,T1ECW5
S6FW71,S6FW71
S6FRS6,S6FRS6
S6AU73,S6AU73
S5FZ81,S5FZ81
S4R471,S4R471
S4R469,S4R469
S4R468,S4R468
S4R466,S4R466
S4R465,S4R465
S4R464,S4R464
S4R463,S4R463
S4R462,S4R462
S4R461,S4R461
S4R460,S4R460
S4R459,S4R459
S4R458,S4R458
S4R457,S4R457
S4R456,S4R456
S4R455,S4R455
S4R454,S4R454
S4R453,S4R453
S4R452,S4R452
S4R451,S4R451
S4R450,S4R450
S4R449,S4R449
S4R448,S4R448
S4R446,S4R446
S4R445,S4R445
S4R444,S4R444
S4R443,S4R443
S4R442,S4R442
S4R441,S4R441
S4R440,S4R440
S4R439,S4R439
S4R438,S4R438
S4R437,S4R437
S4R435,S4R435
S4R434,S4R434
S4R433,S4R433
S4R429,S4R429
S4R427,S4R427
S4R426,S4R426
S4R424,S4R424
S4R422,S4R422
S4R421,S4R421
S4R420,S4R420
S4R419,S4R419
S4R418,S4R418
S4R417,S4R417
